,sellers,buyers,arbiter,anchor
5,497.37030267715454,386.2871825695038,124.34256076812744,26.02667212486267
6,533.243715763092,341.4453864097595,133.31092596054077,34.995037317276
7,551.5356063842773,318.5805678367615,137.88388967514038,39.56800103187561
8,554.8142790794373,314.482182264328,138.7035608291626,40.387675166130066
9,545.3475713729858,326.31564140319824,136.33687496185303,38.020992279052734
10,516.8213248252869,361.97346448898315,129.205322265625,30.889424681663513
11,472.9970693588257,416.75373911857605,118.24926137924194,19.933369755744934
12,408.82498025894165,496.9688355922699,102.20623016357422,11.271113157272339
13,346.97067737579346,574.286699295044,86.74266338348389,15.804125368595123
14,286.5481674671173,649.8148441314697,71.63704037666321,27.15456783771515
15,208.93655717372894,746.8293905258179,52.23413705825806,45.08175253868103
16,132.74872303009033,842.0641422271729,33.187177777290344,64.12871479988098
17,63.862502574920654,928.1719326972961,15.965624153614044,81.35026097297668
18,24.766139686107635,977.0423769950867,6.191534548997879,91.12434983253479
19,-8.460425771772861,1018.5756683349609,-2.1151062101125717,99.43099021911621
20,-34.78945791721344,1051.486849784851,-8.6973637342453,106.0132384300232
21,-49.78865012526512,1070.2358484268188,-12.447161227464676,109.7630500793457
22,-43.47959905862808,1062.349557876587,-10.869898647069931,108.18579196929932
23,-31.49840608239174,1047.3730564117432,-7.87460058927536,105.19047975540161
24,-12.357738800346851,1023.4471559524536,-3.089434467256069,100.40532350540161
25,14.195818454027176,990.2552962303162,3.548954427242279,93.76692771911621
26,50.34997686743736,945.0625777244568,12.587493658065796,84.72838997840881
27,96.31634503602982,887.6046538352966,24.079084396362305,73.23680520057678
28,153.42846512794495,816.2145018577576,38.35711181163788,60.158830881118774
29,222.61829674243927,729.7272086143494,55.65456748008728,47.47839570045471
30,304.60986495018005,627.2376775741577,76.15246176719666,34.2132568359375
31,400.47648549079895,507.4044466018677,100.11911392211914,22.45887964963913
32,471.08587622642517,379.14273142814636,117.77145862579346,28.82792055606842
33,556.5778017044067,272.27783203125,139.14443254470825,51.68976187705994
34,550.5406856536865,191.82425737380981,137.63515949249268,69.30774450302124
35,589.0510678291321,143.6862200498581,147.26275205612183,80.63291907310486
36,607.7979803085327,120.25261670351028,151.9494891166687,85.91766357421875
37,608.8008284568787,118.99902671575546,152.200186252594,85.79826951026917
38,594.7456359863281,136.56795024871826,148.68639707565308,81.14625215530396
39,568.5968399047852,169.25404965877533,142.14919805526733,72.85699248313904
40,599.2665886878967,218.9168930053711,149.816632270813,61.78602576255798
41,552.0135164260864,277.9831886291504,138.00337314605713,48.971351981163025
42,500.40966272354126,342.4879312515259,125.10241270065308,35.02752482891083
43,475.3309190273285,413.83638978004456,118.83271932601929,20.66270262002945
44,422.3325252532959,480.0843596458435,105.58313131332397,14.907984435558319
45,381.93368911743164,530.5829048156738,95.48341631889343,17.342321574687958
46,358.01413655281067,560.482382774353,89.50353264808655,19.114239513874054
47,356.9219708442688,561.8475675582886,89.23048973083496,18.655572831630707
48,375.9830892086029,538.0212664604187,93.99576187133789,15.588448941707611
49,403.7094712257385,503.3631920814514,100.92735290527344,12.73774653673172
50,439.5485818386078,458.5643410682678,109.88713502883911,14.783652126789093
51,473.3327031135559,416.3341820240021,118.33316087722778,20.017285645008087
52,496.346116065979,387.5673711299896,124.08652305603027,25.77064335346222
53,508.7290406227112,372.088760137558,127.1822452545166,28.86636257171631
54,509.40901041030884,371.2387979030609,127.35224962234497,29.03635799884796
55,499.2792308330536,383.90102982521057,124.81980323791504,26.50391161441803
56,475.8107364177704,413.2366478443146,118.95266771316528,20.63678950071335
57,442.89714097976685,454.3786346912384,110.72428226470947,13.590803742408752
58,413.83156180381775,490.710586309433,103.4578800201416,10.476285964250565
59,387.9739046096802,523.0326652526855,96.99346423149109,7.655991613864899
60,364.86443877220154,551.9195199012756,91.21609926223755,9.007341414690018
61,394.66172456741333,514.6728754043579,98.6654281616211,7.876033335924149
62,422.7401614189148,479.5748293399811,105.68503141403198,10.483048856258392
63,449.20092821121216,446.49893045425415,112.30021715164185,13.984335958957672
64,463.2759690284729,428.90509963035583,115.81897735595703,17.50309467315674
65,465.68751335144043,425.89065432548523,116.42187833786011,18.105986714363098
66,457.42595195770264,436.21760606765747,114.35648202896118,16.040587425231934
67,439.67148661613464,458.4106504917145,109.9178671836853,11.679434776306152
68,414.7722125053406,489.5348250865936,103.69304418563843,8.609329909086227
69,394.5223391056061,514.8471593856812,98.63057732582092,6.939730793237686
70,378.660649061203,534.6742272377014,94.66515779495239,7.005626708269119
71,373.3885884284973,541.2642359733582,93.34714412689209,7.197417318820953
72,379.21616435050964,533.9798331260681,94.80403661727905,6.974891573190689
73,393.0996060371399,516.6255831718445,98.27489256858826,6.817927956581116
74,409.46298837661743,496.17132544517517,102.36574411392212,8.131558448076248
75,426.5037477016449,474.87035393714905,106.62592649459839,9.486716985702515
76,444.25010681152344,452.6873826980591,111.0625147819519,12.981735169887543
77,451.6949951648712,443.38130950927734,112.9237413406372,14.674782752990723
78,448.70030879974365,447.1246898174286,112.17507123947144,13.913753628730774
79,436.35621666908264,462.55478262901306,109.08905267715454,10.926581174135208
80,416.73219203948975,487.0848059654236,104.18304204940796,8.569083362817764
81,401.35839581489563,506.3020586967468,100.33959150314331,7.293118536472321
82,389.7032141685486,520.8709836006165,97.42579460144043,6.31515309214592
83,383.25414061546326,528.9323925971985,95.81353068351746,6.25736340880394
84,386.3980174064636,525.0025391578674,96.59950137138367,6.165093183517456
85,396.8108892440796,511.9864344596863,99.20271635055542,6.6573090851306915
86,408.1656336784363,497.7929890155792,102.04139947891235,7.663862407207489
87,419.48267817497253,483.6466908454895,104.87066507339478,8.825656026601791
88,430.3312301635742,470.086008310318,107.5827956199646,9.899797290563583
89,440.78630208969116,457.017183303833,110.19656658172607,11.88068613409996
90,440.06046652793884,457.9244554042816,110.01510620117188,11.69923022389412
91,429.4455349445343,471.1931049823761,107.36137628555298,9.504330158233643
92,419.5087254047394,483.61414670944214,104.87717390060425,8.662877976894379
93,412.1210277080536,492.84878373146057,103.03025245666504,8.007726818323135
94,407.4966013431549,498.62930178642273,101.87414884567261,7.526610046625137
95,405.889630317688,500.6380081176758,101.47240161895752,7.220259308815002
96,407.1581959724426,499.0523159503937,101.78954601287842,7.116568833589554
97,409.0847074985504,496.64416909217834,102.27116346359253,7.351304590702057
