,sellers,buyers,arbiter,anchor
0,0.25,0.25,0.25,0.25
1,0.10204607454780022,0.693873779394633,0.1020430779346775,0.1020370700157786
2,0.1020456291391532,0.6938740082191279,0.10204322557588785,0.10203713706583102
3,0.10204337845161456,0.6938752739466189,0.10204351464492813,0.10203783154228649
4,0.10204550067474645,0.6938740415645908,0.10204342559527077,0.10203703216539216
5,0.1874178348630455,0.5916997923598525,0.22088237277710215,1.604756022030228e-20
6,0.18721479627549256,0.5917805474697756,0.22100465625473192,7.182839392716467e-19
7,0.18707326378485742,0.5918373568123955,0.22108937940274717,1.4843576356927345e-17
8,0.18709578367095228,0.5918286689368577,0.22107554739218999,6.656045004557265e-20
9,0.18707520539315944,0.5918368300464598,0.2210868942154712,1.0703449095964968e-06
10,0.18707814570072095,0.5918361442133491,0.22108235205431015,3.358031619893666e-06
11,0.1870705516968077,0.5918389432421248,0.22109050506106748,8.36068227150565e-17
12,0.18705181199258836,0.5918465889243905,0.22110159908302127,2.1174563600828257e-20
13,0.187128319456292,0.5918159703689116,0.22105457859423341,1.1315805629997558e-06
14,0.18707347350642198,0.5918371464067507,0.22108938008682727,1.1745018927573754e-16
15,0.18707422886816322,0.5918371961636427,0.22108857496819395,6.263642707865621e-17
16,0.18710873279481977,0.591823171151464,0.22106809605371625,1.3978210574443248e-20
17,0.18706637845543933,0.5918401793506624,0.22109344219389832,9.672716523798425e-17
18,0.1870720684077602,0.5918408296256079,0.22108710196663198,4.896485709840297e-18
19,0.187320388608421,0.5917385868658201,0.22093969566160723,1.3288641714200257e-06
20,0.18705096283393693,0.5918451980243767,0.22110383914168566,7.951002818446322e-16
21,0.1870413227610714,0.5918492517288713,0.2211094255100573,4.493157994880444e-18
22,0.18736530419310538,0.5917207920270112,0.22091347192182112,4.318580622807058e-07
23,0.3072741967515537,0.5437573168501749,0.14896848639827145,0.0
24,0.30701350075550515,0.543846870204604,0.14912745868583155,1.217035405956732e-05
