,sellers,buyers,arbiter,anchor
0,185.90904772281647,775.6137251853943,46.47725820541382,50.83862543106079
1,196.0214227437973,762.9733085632324,49.00535047054291,48.3105331659317
2,206.22344315052032,750.2207159996033,51.55586004257202,45.760032534599304
3,216.58524870872498,737.2684478759766,54.146307706832886,43.16957890987396
4,226.90142691135406,724.3732213973999,56.72535300254822,40.59053361415863
5,237.33606934547424,711.3299369812012,59.33401584625244,37.99029588699341
6,247.88492918014526,698.1438398361206,61.97122931480408,35.61488687992096
7,258.469820022583,684.9127411842346,64.61745500564575,33.47898721694946
8,269.0948247909546,671.6315150260925,67.27370023727417,31.346681714057922
9,279.74429726600647,658.3197116851807,69.9360728263855,29.63319718837738
10,290.19033908843994,645.2621221542358,72.54758477210999,28.144246339797974
11,300.6196320056915,632.225513458252,75.15490651130676,26.67466402053833
12,310.83616614341736,619.4548606872559,77.70903706550598,25.208428502082825
13,321.12038135528564,606.5995693206787,80.28008937835693,23.694583773612976
14,331.5478563308716,593.5652256011963,82.88695812225342,22.12165594100952
15,342.1136140823364,580.35808801651,85.52839756011963,20.49691379070282
16,352.67311334609985,567.1586394309998,88.16826939582825,18.861468136310577
17,363.32932114601135,553.8384318351746,90.83232879638672,17.18808263540268
18,374.0406036376953,540.449321269989,93.51014494895935,16.23988300561905
19,384.4580054283142,527.4275541305542,96.11449241638184,15.545755624771118
20,394.69191431999207,514.6351456642151,98.67297410964966,14.762650430202484
21,404.7808349132538,502.02399492263794,101.19520425796509,13.904249668121338
22,414.75915908813477,489.5510971546173,103.68977785110474,12.98014223575592
23,424.65782165527344,477.17779874801636,106.1644434928894,13.257646560668945
24,433.5390627384186,466.0762548446655,108.38475227355957,14.261448383331299
25,441.2074387073517,456.49072527885437,110.30185222625732,15.04209041595459
26,448.2675790786743,447.66560196876526,112.0668888092041,15.745028853416443
27,454.7635316848755,439.545601606369,113.6908769607544,16.375836730003357
28,460.7373774051666,432.0783317089081,115.18434286117554,17.007261514663696
29,465.9145474433899,425.606906414032,116.47862195968628,18.162742257118225
