,sellers,buyers,arbiter
0,0.333,0.333,0.333
1,0.30,0.38,0.32
2,0.34,0.30,0.34
3,0.35,0.27,0.38
4,0.27,0.41,0.32
5,0.33,0.34,0.33
6,0.31,0.39,0.29
